minute,rmssd,coverage,hf,lf
2023-12-05T03:50:00.000,59.11,0.987,926.686,1006.967
2023-12-05T03:55:00.000,56.854,0.74,834.263,1442.253
2023-12-05T04:00:00.000,70.62,0.925,1214.116,1514.293
2023-12-05T04:05:00.000,64.122,0.874,1601.348,1893.276
2023-12-05T04:10:00.000,37.976,1.004,458.195,694.062
2023-12-05T04:15:00.000,52.877,0.843,786.748,2101.379
2023-12-05T04:20:00.000,55.603,0.971,1228.913,945.927
2023-12-05T04:25:00.000,34.769,0.94,428.488,583.108
2023-12-05T04:30:00.000,47.743,0.928,707.437,567.351
2023-12-05T04:35:00.000,56.291,0.812,564.968,619.677
2023-12-05T04:40:00.000,97.762,1.003,3235.0,946.771
2023-12-05T04:45:00.000,88.339,0.992,2204.345,1064.285
2023-12-05T04:50:00.000,85.415,1.005,2777.958,604.006
2023-12-05T05:05:00.000,48.509,0.944,624.763,1047.412
2023-12-05T05:10:00.000,54.067,0.983,1000.176,732.323
2023-12-05T05:15:00.000,57.669,0.863,1184.825,1340.787
2023-12-05T05:20:00.000,56.399,0.952,1263.479,1351.509
2023-12-05T05:25:00.000,68.271,0.771,1064.971,1891.124
2023-12-09T22:50:00.000,24.018,0.948,180.74,539.342
2023-12-09T22:55:00.000,25.653,1.001,250.335,265.847
2023-12-09T23:00:00.000,27.728,0.993,284.415,354.332
2023-12-09T23:05:00.000,28.662,1.006,356.923,293.898
2023-12-09T23:10:00.000,28.341,1.001,307.894,317.3
2023-12-09T23:15:00.000,28.751,1.004,309.471,261.483
2023-12-09T23:20:00.000,26.336,1.003,246.697,282.281
2023-12-09T23:25:00.000,28.318,1.003,294.193,233.98
2023-12-09T23:30:00.000,27.904,1.002,282.901,250.561
2023-12-09T23:35:00.000,27.21,1.002,278.38,337.351
2023-12-09T23:40:00.000,25.982,1.003,227.907,212.162
2023-12-09T23:45:00.000,25.712,0.899,245.867,202.398
2023-12-09T23:55:00.000,25.121,0.778,98.479,561.904
2023-12-10T00:00:00.000,22.712,0.924,165.632,332.061
2023-12-10T00:05:00.000,22.224,0.803,120.778,296.097
2023-12-10T00:10:00.000,25.363,1.003,246.174,126.146
2023-12-10T00:15:00.000,30.16,1.002,371.096,155.919
2023-12-10T00:20:00.000,29.885,1.003,430.03,196.078
2023-12-10T00:25:00.000,29.845,0.923,255.201,336.478
2023-12-10T00:30:00.000,37.51,1.004,450.287,469.926
